               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.18252,           0.0073792,            0.041555,          4.3986e-06,          0.00025934,          2.2158e-06,          1.1079e-06,             0.18001,           0.0076823,            0.040043,            0.070101,           0.0033221,           0.0033221
                   1,             0.15715,           0.0080087,            0.033648,          7.9267e-05,           0.0066665,          4.0982e-05,          9.9313e-06,             0.16788,           0.0082833,            0.035002,            0.039442,           0.0059966,           0.0059966
                   2,             0.13462,            0.010347,            0.025774,           0.0012555,            0.011182,          0.00018601,          5.3157e-05,             0.17324,             0.14335,            0.061308,           0.0081229,            0.008011,            0.008011
                   3,             0.12567,            0.011872,            0.017139,            0.027476,            0.011176,           0.0030457,          0.00068896,             0.16372,              0.0127,             0.03092,             0.00703,             0.00703,             0.00703
                   4,              0.1181,            0.012087,           0.0079681,            0.062134,           0.0072614,             0.00468,          0.00091921,              0.1653,            0.011929,            0.033294,             0.00703,             0.00703,             0.00703
                   5,             0.10937,            0.013168,           0.0047452,             0.32016,           0.0095954,           0.0045523,          0.00093735,             0.16664,            0.013045,            0.033931,             0.00604,             0.00604,             0.00604
                   6,            0.098416,            0.014319,           0.0041801,             0.55229,            0.021296,           0.0082301,           0.0019066,             0.16481,            0.012724,            0.033074,             0.00505,             0.00505,             0.00505
                   7,            0.089146,            0.014521,           0.0035314,             0.56879,            0.020333,           0.0095616,           0.0023438,             0.16496,            0.014181,            0.038781,             0.00406,             0.00406,             0.00406
                   8,            0.080031,            0.015243,           0.0037588,             0.56418,             0.03585,            0.018201,           0.0050579,              0.1578,            0.012465,             0.03492,             0.00307,             0.00307,             0.00307
                   9,            0.071645,            0.015434,           0.0034797,             0.57512,            0.038886,            0.022807,            0.007151,             0.15917,            0.012415,            0.031661,             0.00208,             0.00208,             0.00208
